station_name,station_no,station_latitude,station_longitude
Muirshiel RG,490986,55.84918458,-4.742664896
Murray Burn,372859,55.91287677,-3.317681386
Murton,335650,56.65077608,-2.823539396
Mylnefield,335651,56.46017678,-3.075838089
Nairn Dunbar Golf Course,341224,57.59406094,-3.842759406
New Kelso,234289,57.42953514,-5.429999168
Newton of Falkland,15083,56.25431474,-3.186268594
Newtonairds,115627,55.10134134,-3.742902191
Nigg Headworks,335797,57.13140193,-2.061103972
North Berwick (Kingston),335621,56.03149667,-2.734270572
Nunraw Abbey,15215,55.92185875,-2.653499917
Old Mill of Newton,367364,57.35801578,-2.577016947
Ormiston Mill,15007,55.5449192444277,-2.47331449245388
Penwhapple Reservoir,335375,55.23585144,-4.747897404
Perth Norwich Union,341345,56.38611935,-3.464092253
Picketlaw Reservoir,115632,55.73611493,-4.281846657
Pluscarden Abbey,486057,57.59946107,-3.433170424
Polhollick,234294,57.05514629,-3.083180673
Polloch,234295,56.75844885,-5.613663683
Polmonthill STW,15187,55.99776804,-3.680208641
Portling,115634,54.87093795,-3.744601282
Portmoak,15149,56.19239436,-3.334726298
Prestwick,344764,55.50523784,-4.610940702
Quarry Head,335575,57.63465034,-2.025944065
Quinloch Farm,115638,56.0079586,-4.377500029
Rest and be Thankful,485490,56.22216848,-4.859016846
Rhian Bridge,115390,58.11499626,-4.439159665
Rhiconich,336217,58.42139172,-4.991227379
RhynieGS,368013,57.3317252,-2.828953912
Ross Priory,133124,56.05257642,-4.55746111
Rossie Farm,15070,56.29912602,-3.202717904
Rothienorman,115239,57.40900118,-2.466784574
Saline,15155,56.12224003,-3.585958925
Saughall,115645,55.60098751,-4.226431521
Scardroy No3,347562,57.51892459,-4.985935657
Sgodachail,234305,57.8932766383122,-4.54697639942866
Shiplaw,14975,55.7279691733531,-3.20729143414443
Shotts WWTW,494255,55.81395203,-3.811987501
Slamannan,464630,55.94205217,-3.832217321
Sluggan,234314,57.2739976291366,-3.87599734801261
Solwaybank,115647,55.08629786,-3.086937218
Sorbie,115648,54.79252816,-4.42628864
South Moorhouse,115649,55.73251416,-4.350287842
Spey Dam,234315,57.01121062,-4.336367491
St Monance,335620,56.2047855,-2.78271364
Stonyford,369551,56.84214794,-2.811870347
Strathkelvin House,300383,55.94300475,-4.172710018
Strathkinness,11368,56.33136897,-2.863918962
Strathy Bridge,234319,58.55872143,-4.002604762
