,station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
93,Dunstaffnage,56.45050242,-5.439870612,365257,26982,2021-05-31 12:00:00,0.0,0.0,0,130539010,0,223
94,Durkadale,59.10852817,-3.232172832,234207,25462,2020-12-30 10:00:00,0.0,0.0,0,130323010,1,12
95,East Kilbride,55.75477386,-4.171759227,115560,22816,2021-05-31 12:00:00,0.0,0.0,0,130422010,0,227
96,Edinburgh RBG (Royal Botanic Garden),55.9666233709368,-3.21231073711968,15201,25124,2021-05-31 08:00:00,0.0,0.0,0,130671010,0,263
97,Einig Wood,57.94421601,-4.764511928,492363,27414,2021-05-31 16:00:00,0.0,0.0,0,130386010,0,121
98,Eliock,55.34583036,-3.899113859,115562,22824,2021-05-31 15:00:00,0.0,0.0,0,130031010,0,18
99,Eskdalemuir Observatory,55.3115132595484,-3.20679877544895,15100,971349,2021-05-31 15:00:00,0.0,0.0,0,130100010,0,159
100,Esslemont House,57.36510966,-2.112363417,115221,22193,2021-05-31 15:00:00,0.0,0.0,0,130134010,0,30
101,Ettrick Bay,55.85650223,-5.145834193,115563,22829,2021-05-31 08:00:00,0.0,0.0,0,130425010,0,157
102,Fife Airport,56.1816502,-3.222449068,15151,25001,2021-05-31 16:00:00,0.0,0.0,0,130620010,0,237
103,Flichity,57.33128618,-4.221750189,115339,22415,2021-05-31 12:00:00,0.0,0.0,0,130779010,0,200
104,Forehill,57.50635026,-1.843281987,336372,26519,2021-05-31 15:00:00,0.0,0.0,0,130197010,0,118
105,Forsinain,58.41100711,-3.873563607,115340,22421,2021-05-31 15:00:00,0.0,0.0,0,130257010,0,205
106,Forter,56.76674681,-3.332205729,14948,24433,2021-05-31 14:00:00,0.0,0.0,0,130968010,0,269
107,Fourmerkland,55.1650788,-3.412506453,115565,22837,2021-05-31 15:00:00,0.0,0.0,0,130034010,0,169
108,Frenich Farm,56.2269416185393,-4.56047224967827,552790,1296133,2021-05-31 13:00:00,0.0,0.0,0,143640010,0,105
109,Gairnshiel,57.09199509,-3.165582141,115223,22198,2021-05-31 13:00:00,0.0,0.0,0,130137010,0,182
110,Gargunnock,56.13266077,-4.070571402,14892,24163,2021-05-31 16:00:00,0.0,0.0,0,130593010,0,127
111,Garls Craig,55.36599829,-3.616030256,301168,25995,2021-05-31 12:00:00,0.0,0.0,0,130503010,0,89
112,Garrogie Lodge,57.17006125,-4.442843871,464495,27294,2021-05-31 14:00:00,0.0,0.0,0,130866010,0,76
113,Gatelawbridge,55.25076797,-3.730683565,115568,22848,2021-05-31 13:00:00,0.0,0.0,0,130037010,0,271
114,Gella Bridge,56.77535832,-3.027929218,14916,24271,2021-05-31 13:00:00,0.0,0.0,0,130956010,0,193
115,Gifford Rain Gauge,55.89043578,-2.768969478,474984,27360,2021-05-31 12:00:00,0.2,0.2,1,130746010,0,134
116,Gilston,55.80025456,-2.883463821,15114,24922,2021-05-31 12:00:00,0.0,0.0,0,130929010,0,261
117,Gladhouse Reservoir,55.7784118,-3.117398754,15204,25131,2021-05-31 12:00:00,0.0,0.0,0,130674010,0,66
118,Glen Ample,56.354577358483,-4.26999369364804,335745,853373,2021-05-31 13:00:00,0.0,0.0,0,131028010,0,75
119,Glen Nevis,56.79923208,-5.067543348,115343,22436,2021-05-31 15:00:00,0.0,0.0,0,130260010,0,52
120,Glen Strae,56.42522107,-5.000795867,133088,23551,2021-05-31 15:00:00,0.0,0.0,0,130488010,0,85
121,Glenbreck,55.4820219628409,-3.47775472797171,368490,27041,2021-05-31 14:00:00,0.0,0.0,0,130947010,0,139
122,Glenmavis,55.89359141,-4.013210328,327238,26130,2021-05-31 12:00:00,0.0,0.0,0,130524010,0,155
123,Glenmore Lodge No 2,57.16421784,-3.677609728,115225,22206,2021-05-31 12:00:00,0.0,0.0,0,130758010,0,33
124,Glenmuick No2,56.95161175,-3.141253355,367371,27015,2021-05-31 15:00:00,0.0,0.0,0,130209010,0,50
125,Glenochil,56.14364525,-3.839304837,14891,24157,2021-05-31 12:00:00,0.0,0.0,0,130590010,0,221
126,Glenquey,56.20739317,-3.642080305,464636,27308,2021-05-31 12:00:00,0.0,0.0,0,130734010,0,44
127,Gogarbank,55.92834002,-3.342742573,15196,25107,2021-05-31 12:00:00,0.0,0.0,0,130662010,0,34
128,Gordon Arms,55.5113722712304,-3.09640690612754,14984,24629,2021-05-31 13:00:00,0.0,0.0,0,130893010,0,83
129,Greenock,55.94370132,-4.723991358,327292,26135,2021-05-31 12:00:00,0.0,0.0,0,130527010,0,248
130,Haddington STW,55.9605092339233,-2.75022457021791,15226,25188,2021-05-31 12:00:00,0.2,0.2,1,130692010,0,131
131,Halkirk,58.5154974,-3.493004244,234231,25560,2021-05-31 15:00:00,0.0,0.0,0,130326010,0,177
132,Harelaw,55.91651494,-3.086776845,335614,26208,2021-05-31 12:00:00,0.2,0.2,1,130704010,0,95
133,Harperrig,55.83652095,-3.435270947,15200,25119,2021-05-31 12:00:00,0.0,0.0,0,130668010,0,163
134,Hatton (Perth),56.52513594,-2.648539891,335640,26247,2021-05-31 13:00:00,0.2,0.2,1,131010010,0,184
135,Hatton No 2,57.42757524,-1.909678484,115227,22214,2021-05-31 15:00:00,0.2,0.2,1,130140010,0,21
136,Hazelwood Cottage,56.2671528358581,-5.49466255293018,115582,22886,2021-05-31 12:00:00,0.0,0.0,0,130437010,0,35
