,Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude
91,2017-09-01,54.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
92,2017-10-01,42.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
93,2017-11-01,47.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
94,2017-12-01,48.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
95,2018-01-01,54.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
96,2018-02-01,35.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
97,2018-03-01,118.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
98,2018-04-01,84.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
99,2018-05-01,20.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
100,2018-06-01,37.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
101,2018-07-01,55.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
102,2018-08-01,36.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
103,2018-09-01,65.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
104,2018-10-01,51.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
105,2018-11-01,80.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
106,2018-12-01,49.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
107,2019-01-01,18.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
108,2019-02-01,27.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
109,2019-03-01,84.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
110,2019-04-01,52.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
111,2019-05-01,99.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
112,2019-06-01,157.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
113,2019-07-01,92.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
114,2019-08-01,128.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
115,2019-09-01,63.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
116,2019-10-01,92.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
117,2019-11-01,209.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
118,2019-12-01,11.4,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
119,2020-01-01,7.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
120,2020-02-01,140.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
121,2020-03-01,41.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
122,2020-04-01,6.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
123,2020-05-01,51.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
124,2020-06-01,85.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
125,2020-07-01,74.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
126,2020-08-01,152.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
127,2020-09-01,28.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
128,2020-10-01,143.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
129,2020-11-01,46.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
130,2020-12-01,78.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
131,2021-01-01,166.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
132,2021-02-01,122.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
133,2021-03-01,31.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
134,2021-04-01,22.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
135,2021-05-01,184.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
136,2021-06-01,52.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
137,2021-07-01,56.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
138,2021-08-01,96.2,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
139,2021-09-01,60.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
140,2021-10-01,169.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
141,2021-11-01,75.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
142,2021-12-01,102.8,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
143,2022-01-01,7.0,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
144,2022-02-01,3.6,15018,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
0,2010-02-01,41.0,234150,Aberlour,234150,57.48021805,-3.205975095
1,2010-03-01,101.0,234150,Aberlour,234150,57.48021805,-3.205975095
2,2010-04-01,62.2,234150,Aberlour,234150,57.48021805,-3.205975095
3,2010-05-01,58.4,234150,Aberlour,234150,57.48021805,-3.205975095
4,2010-06-01,39.6,234150,Aberlour,234150,57.48021805,-3.205975095
5,2010-07-01,77.2,234150,Aberlour,234150,57.48021805,-3.205975095
6,2010-08-01,90.2,234150,Aberlour,234150,57.48021805,-3.205975095
7,2010-09-01,133.0,234150,Aberlour,234150,57.48021805,-3.205975095
8,2010-10-01,70.8,234150,Aberlour,234150,57.48021805,-3.205975095
9,2010-11-01,73.0,234150,Aberlour,234150,57.48021805,-3.205975095
10,2010-12-01,61.0,234150,Aberlour,234150,57.48021805,-3.205975095
11,2011-01-01,29.6,234150,Aberlour,234150,57.48021805,-3.205975095
12,2011-02-01,39.6,234150,Aberlour,234150,57.48021805,-3.205975095
13,2011-03-01,97.6,234150,Aberlour,234150,57.48021805,-3.205975095
14,2011-04-01,20.6,234150,Aberlour,234150,57.48021805,-3.205975095
15,2011-05-01,64.2,234150,Aberlour,234150,57.48021805,-3.205975095
16,2011-06-01,47.8,234150,Aberlour,234150,57.48021805,-3.205975095
17,2011-07-01,73.8,234150,Aberlour,234150,57.48021805,-3.205975095
18,2011-08-01,195.8,234150,Aberlour,234150,57.48021805,-3.205975095
19,2011-09-01,51.6,234150,Aberlour,234150,57.48021805,-3.205975095
20,2011-10-01,42.2,234150,Aberlour,234150,57.48021805,-3.205975095
21,2011-11-01,25.8,234150,Aberlour,234150,57.48021805,-3.205975095
22,2011-12-01,41.0,234150,Aberlour,234150,57.48021805,-3.205975095
23,2012-01-01,65.0,234150,Aberlour,234150,57.48021805,-3.205975095
24,2012-02-01,32.0,234150,Aberlour,234150,57.48021805,-3.205975095
25,2012-03-01,3.8,234150,Aberlour,234150,57.48021805,-3.205975095
26,2012-04-01,195.8,234150,Aberlour,234150,57.48021805,-3.205975095
27,2012-05-01,51.8,234150,Aberlour,234150,57.48021805,-3.205975095
28,2012-06-01,78.0,234150,Aberlour,234150,57.48021805,-3.205975095
29,2012-07-01,103.4,234150,Aberlour,234150,57.48021805,-3.205975095
30,2012-08-01,70.8,234150,Aberlour,234150,57.48021805,-3.205975095
31,2012-09-01,67.2,234150,Aberlour,234150,57.48021805,-3.205975095
32,2012-10-01,81.0,234150,Aberlour,234150,57.48021805,-3.205975095
33,2012-11-01,47.6,234150,Aberlour,234150,57.48021805,-3.205975095
34,2012-12-01,98.4,234150,Aberlour,234150,57.48021805,-3.205975095
35,2013-01-01,25.2,234150,Aberlour,234150,57.48021805,-3.205975095
36,2013-02-01,61.6,234150,Aberlour,234150,57.48021805,-3.205975095
37,2013-03-01,35.4,234150,Aberlour,234150,57.48021805,-3.205975095
38,2013-04-01,43.2,234150,Aberlour,234150,57.48021805,-3.205975095
39,2013-05-01,97.4,234150,Aberlour,234150,57.48021805,-3.205975095
40,2013-06-01,70.2,234150,Aberlour,234150,57.48021805,-3.205975095
41,2013-07-01,58.4,234150,Aberlour,234150,57.48021805,-3.205975095
42,2013-08-01,58.8,234150,Aberlour,234150,57.48021805,-3.205975095
43,2013-09-01,41.4,234150,Aberlour,234150,57.48021805,-3.205975095
44,2013-10-01,68.0,234150,Aberlour,234150,57.48021805,-3.205975095
45,2013-11-01,84.8,234150,Aberlour,234150,57.48021805,-3.205975095
46,2013-12-01,60.8,234150,Aberlour,234150,57.48021805,-3.205975095
47,2014-01-01,71.6,234150,Aberlour,234150,57.48021805,-3.205975095
48,2014-02-01,68.2,234150,Aberlour,234150,57.48021805,-3.205975095
49,2014-03-01,24.0,234150,Aberlour,234150,57.48021805,-3.205975095
50,2014-04-01,34.6,234150,Aberlour,234150,57.48021805,-3.205975095
51,2014-05-01,46.4,234150,Aberlour,234150,57.48021805,-3.205975095
52,2014-06-01,65.8,234150,Aberlour,234150,57.48021805,-3.205975095
53,2014-07-01,60.8,234150,Aberlour,234150,57.48021805,-3.205975095
54,2014-08-01,174.4,234150,Aberlour,234150,57.48021805,-3.205975095
55,2014-09-01,37.7,234150,Aberlour,234150,57.48021805,-3.205975095
56,2014-10-01,138.7,234150,Aberlour,234150,57.48021805,-3.205975095
57,2014-11-01,102.8,234150,Aberlour,234150,57.48021805,-3.205975095
58,2014-12-01,95.6,234150,Aberlour,234150,57.48021805,-3.205975095
59,2015-01-01,126.4,234150,Aberlour,234150,57.48021805,-3.205975095
60,2015-02-01,29.4,234150,Aberlour,234150,57.48021805,-3.205975095
61,2015-03-01,38.2,234150,Aberlour,234150,57.48021805,-3.205975095
62,2015-04-01,56.2,234150,Aberlour,234150,57.48021805,-3.205975095
63,2015-05-01,63.4,234150,Aberlour,234150,57.48021805,-3.205975095
64,2015-06-01,68.4,234150,Aberlour,234150,57.48021805,-3.205975095
65,2015-07-01,81.8,234150,Aberlour,234150,57.48021805,-3.205975095
66,2015-08-01,91.6,234150,Aberlour,234150,57.48021805,-3.205975095
67,2015-09-01,64.6,234150,Aberlour,234150,57.48021805,-3.205975095
68,2015-10-01,40.2,234150,Aberlour,234150,57.48021805,-3.205975095
69,2015-11-01,59.8,234150,Aberlour,234150,57.48021805,-3.205975095
70,2015-12-01,94.2,234150,Aberlour,234150,57.48021805,-3.205975095
71,2016-01-01,128.0,234150,Aberlour,234150,57.48021805,-3.205975095
72,2016-02-01,68.6,234150,Aberlour,234150,57.48021805,-3.205975095
73,2016-03-01,41.0,234150,Aberlour,234150,57.48021805,-3.205975095
74,2016-04-01,82.4,234150,Aberlour,234150,57.48021805,-3.205975095
75,2016-05-01,41.0,234150,Aberlour,234150,57.48021805,-3.205975095
76,2016-06-01,85.6,234150,Aberlour,234150,57.48021805,-3.205975095
77,2016-07-01,73.4,234150,Aberlour,234150,57.48021805,-3.205975095
78,2016-08-01,76.8,234150,Aberlour,234150,57.48021805,-3.205975095
79,2016-09-01,46.2,234150,Aberlour,234150,57.48021805,-3.205975095
80,2016-10-01,83.6,234150,Aberlour,234150,57.48021805,-3.205975095
81,2016-11-01,183.0,234150,Aberlour,234150,57.48021805,-3.205975095
82,2016-12-01,65.0,234150,Aberlour,234150,57.48021805,-3.205975095
83,2017-01-01,70.2,234150,Aberlour,234150,57.48021805,-3.205975095
84,2017-02-01,30.4,234150,Aberlour,234150,57.48021805,-3.205975095
85,2017-03-01,41.8,234150,Aberlour,234150,57.48021805,-3.205975095
86,2017-04-01,50.4,234150,Aberlour,234150,57.48021805,-3.205975095
87,2017-05-01,38.6,234150,Aberlour,234150,57.48021805,-3.205975095
88,2017-06-01,156.4,234150,Aberlour,234150,57.48021805,-3.205975095
89,2017-07-01,73.4,234150,Aberlour,234150,57.48021805,-3.205975095
90,2017-08-01,81.6,234150,Aberlour,234150,57.48021805,-3.205975095
91,2017-09-01,151.0,234150,Aberlour,234150,57.48021805,-3.205975095
92,2017-10-01,65.2,234150,Aberlour,234150,57.48021805,-3.205975095
93,2017-11-01,127.0,234150,Aberlour,234150,57.48021805,-3.205975095
94,2017-12-01,45.8,234150,Aberlour,234150,57.48021805,-3.205975095
95,2018-01-01,36.2,234150,Aberlour,234150,57.48021805,-3.205975095
96,2018-02-01,43.6,234150,Aberlour,234150,57.48021805,-3.205975095
97,2018-03-01,58.2,234150,Aberlour,234150,57.48021805,-3.205975095
98,2018-04-01,38.0,234150,Aberlour,234150,57.48021805,-3.205975095
99,2018-05-01,26.6,234150,Aberlour,234150,57.48021805,-3.205975095
100,2018-06-01,27.8,234150,Aberlour,234150,57.48021805,-3.205975095
